FID	IID	pheno_1	pheno_2	pheno_3	pheno_4	pheno_5
4907	4907	69.01757803210316	29.031018780801226	25.940383065187635	10.532911521537738	7.165034179796651
8088	8088	62.046300638429166	34.28575387587861	19.67278925209461	16.843110603490164	11.022377244758557
7670	7670	64.28840940529763	34.69094474349965	18.760378662350227	18.647741360770752	13.002104503615445
7486	7486	57.351949816711794	40.254396010106646	25.587805271371714	19.907169489225968	19.697437587853987
3110	3110	54.20874018360077	39.6954851518601	20.09403149795651	19.95686750012686	17.147988493051802
7575	7575	58.056951425451885	35.28353905378206	27.151510271330437	28.34952886540801	12.245490971551183
8922	8922	55.33918805649378	29.598188056366403	27.53048541633289	14.159630324318313	10.246759645335807
1054	1054	63.87039428835952	35.236741499416986	25.625771798726607	9.34867164860179	23.253660765363726
8757	8757	55.964399872612375	42.274042378456194	25.44765940490736	18.432979201668715	5.486179738157216
4076	4076	72.26506274790302	25.38521914366595	26.62727451871061	20.612865003420026	12.729598555726957
3610	3610	56.773400513439874	44.09755635739611	28.211447137098638	14.00087473030646	11.228227077263494
2184	2184	60.077195293695794	35.286757206110764	16.948961086860265	21.549274084221047	9.278554333023436
2721	2721	59.57266193023614	38.03397573950648	30.5148178714957	18.142471112191938	10.744743695638324
1821	1821	54.920540548015865	35.583219982789835	24.99996444256362	23.409085976228596	8.9223713202831
5607	5607	57.51232201475216	41.988165395522714	22.86557679669838	13.956640764668949	13.59897284012974
6697	6697	50.48614042561471	35.90115031863606	30.22696963102774	15.050856006599298	9.530435433318294
6591	6591	58.99442099530928	41.16528789072864	26.43468980799622	14.966558408964383	19.660354064940982
2455	2455	56.91292548476718	41.43439995659458	23.83720497101055	18.380293959205652	14.72123003602174
4339	4339	64.92359882816974	34.02351779850401	24.285493883711382	12.718886449312661	6.134587952093694
8259	8259	63.19461025263417	34.29693965402454	30.50585939329285	16.46681498216777	9.020268642466627
6624	6624	60.0044799330028	31.866352916912973	23.585058505586822	17.730900458833137	18.236979999889332
3857	3857	63.50637767036589	37.70273550721602	24.400428377559386	12.806988245353345	13.950976229454525
3203	3203	59.78350792169488	36.64999558135929	20.103168183165558	9.399543400133576	9.476447070434824
8814	8814	54.92105361579552	36.41128922013864	33.27035388183647	22.581165485285492	17.87942708818092
6141	6141	55.392978618718864	35.38230383790632	24.12723841226766	15.392473123780475	14.682387691574801
2712	2712	62.58335382692026	24.965722990486526	36.81212006975045	18.063554954948092	3.535398518289055
6996	6996	58.36209675750445	38.055761062936575	22.89767818224159	6.084006090585341	12.071652849964348
3587	3587	59.857854090657355	39.81102297737965	23.899543754646018	12.703482403909646	12.746738866021408
6565	6565	54.70600323833203	35.81917168472902	25.565758701198888	21.37340610871032	13.000561973990443
5613	5613	68.23968668467693	37.51971945828799	13.933509784412232	22.305273681283172	14.126171294186967
4238	4238	61.31545806360123	28.672850037653973	32.70831732798657	20.05637778850442	15.05986547002874
4595	4595	57.92790075435151	40.72559991072611	25.816896915063516	4.316532600078293	7.134279158799301
5097	5097	56.621587310152556	36.22424530405235	27.044683048465483	6.49141309681699	6.136810758257279
1164	1164	57.042977964277995	31.613434049898743	23.03442270136642	16.809469846714478	11.238125898050288
6114	6114	64.75801391623692	35.52369502066228	28.423217051738032	22.831611629060895	15.136004002114976
1490	1490	51.53886876098046	35.5569474590816	23.231868615087357	20.261190762278275	6.5655027374842785
8077	8077	68.45259581188918	36.94133520748153	19.83478229667493	7.686226277116689	13.05669363608963
3887	3887	49.96812225307898	30.368188166891557	14.665546158299101	19.044429750508314	15.342517077443897
2252	2252	67.95502532645747	44.04784267853234	26.057792612776936	20.110836452340536	6.4447131530601744
2527	2527	59.090120098604146	42.82847812731568	25.528806026264174	20.286188455041405	13.364507940122081
6692	6692	52.45805104945455	40.59353706291029	33.532899147419336	19.22273311302304	5.91637931600482
8913	8913	58.21384432731378	36.53088330270039	21.6177332769854	9.834528795282473	7.774694228346345
3508	3508	58.00790103753283	27.609553635477607	22.336926225915487	9.635261371325477	6.737904666846165
8072	8072	65.86769859031344	34.866009203947236	29.020902236868388	15.471835483357731	6.874368132577928
2959	2959	55.863177144666544	31.16162482500397	25.026257471299278	20.353816384648795	13.471878629994606
6502	6502	59.91512458590844	33.08049775106515	21.25809390237583	13.651428379781445	0.044667415945610855
4156	4156	66.54892929952234	35.24010123136339	20.280594180259268	8.48572825261613	4.029246215160987
6822	6822	68.87512802629647	38.52323162385726	16.48786982293833	20.078619315470597	13.01953678685737
5309	5309	58.42596052962529	34.5757650792817	32.4497655776597	16.573289192715272	9.0444669923536
7116	7116	64.07456317965058	34.71829029770017	26.97518175062869	10.910323527465124	7.720894721786014
4762	4762	49.46134581089899	39.99038947680508	19.63842352449646	12.605070825698423	13.630006586908165
4957	4957	59.36364955451504	31.11082029060948	24.626354270734776	14.286377500213518	9.540560023043037
1532	1532	67.86640874310328	32.47702674267149	23.89066430332688	15.437292586676204	8.268683422197821
1248	1248	58.37905031602807	38.69297114850811	18.2535469223953	14.507713011899346	16.281226254447567
6837	6837	60.65547333165542	34.71182986343863	18.297188137667938	11.390656808493608	9.275505428990847
8797	8797	50.80290897298741	34.80886867179481	29.283450558990957	17.720181673736707	3.42736932875495
6843	6843	59.39899260183124	40.087044431705145	26.019023502302467	18.617148378159456	14.558882173273018
3877	3877	57.37915513361165	41.659914113597864	18.630817640667214	16.99177873178479	5.67456126102621
4793	4793	61.32485390168287	33.66043891548118	19.67909123986602	12.810525677657578	4.292970550854125
7392	7392	57.226210253942895	35.75449856344268	23.33560341715042	14.79990184027143	9.430676490691344
3264	3264	53.190546270842034	27.097518496747234	22.659984864266125	15.34139064136733	12.608474746238354
3503	3503	54.15558274463367	31.048529019432735	25.400116289873658	12.634239924535908	6.0209949418856095
6673	6673	55.95521799783842	35.760966781588884	20.86653985865973	20.68140783881334	7.24345587041202
6612	6612	58.14420142977733	33.895989814887024	25.461845691044495	13.649250150291433	7.210525071728309
7524	7524	64.58699154250398	39.076763606512486	25.461760585378258	11.441495197952095	15.946220943062293
2402	2402	55.726251536357594	41.9554598850603	24.7237812882712	12.020101183750144	16.295697558226106
6405	6405	54.49329149838649	36.004271705560335	27.717978877108383	11.187657982992137	-4.232715343763605
2504	2504	51.76537570089304	40.58392128536815	18.271813854594274	20.379841700110898	11.866520615572899
5766	5766	60.85461367510795	33.751581374883536	27.13287269010905	16.654910120253817	12.77455127445188
2301	2301	57.61597065439599	38.73971191803154	25.006331209847573	13.202381526592447	2.8713056433674833
5087	5087	55.23799455656916	38.76180711885632	26.641116697170894	11.362637678946259	8.452447323612068
8227	8227	59.93948008599322	34.087621373482584	28.321487995793703	13.068885776400707	10.54222221773268
4947	4947	60.130002051228615	35.12162303871886	23.984494308097524	18.775110947928194	3.5420410715806465
6314	6314	48.618349132052856	35.646462845414206	17.107485263847387	8.615765954945665	13.0972816980863
6750	6750	65.75464613436168	35.38251161727043	23.709448281476753	10.667740216841036	13.559519157547594
4511	4511	65.77629857971647	46.42316877856008	19.281279328444256	11.437022392624744	11.214487369382212
5400	5400	58.31801557831724	37.121818688149766	18.39761200594029	23.151035248805	10.070844313263002
4759	4759	59.89555585501785	38.24337431185862	23.206331263369655	16.492155758545692	7.8886463509033495
1030	1030	56.54590645632881	30.895093982969488	26.51112730420281	24.584630982761848	13.00982722188712
8480	8480	66.94797638203165	42.10640671569021	31.913068447824834	10.145589788861741	9.985546027424407
6895	6895	55.879860086726715	39.387185491542866	26.94594660832193	12.558872022583587	3.2000301073117035
8335	8335	65.7212359870426	32.6993720653992	15.111992107969206	10.735503972746963	-2.7028455148814583
4189	4189	67.29011907862505	24.463124164901657	25.390021831410188	16.008352537625484	15.301305208719004
3607	3607	64.73133433553336	37.18901097926398	26.439231119318393	20.272237019627593	14.148184933900403
5392	5392	63.76207095469718	38.94728604110938	23.828206423749506	19.165469875248586	6.744623387697661
4450	4450	55.11835894231708	32.38978292332802	26.46299349059795	10.376900638184434	2.0209493722155987
7340	7340	52.51859538132906	35.872530971680284	23.296318102706792	7.706124280665563	14.236250054143362
3820	3820	61.08889804977279	32.162962038667075	24.98807173926109	20.19940548390225	5.2998886881946055
8787	8787	65.99344370105662	35.15663703748438	34.11047998175977	11.265179271305046	18.49711930386937
7443	7443	57.593207901635914	34.63938372443652	29.008222736889152	18.925501833369413	15.617001845135082
1129	1129	54.35277808983409	45.44466607631456	32.29152344790856	14.54099448838054	5.781141408571548
8311	8311	58.632683668574835	34.736498960404646	24.094371473710343	11.17653347905001	12.355692787250312
7043	7043	56.587956377085334	37.30025274704522	22.228348959053108	12.227845825094983	14.207869948644474
6346	6346	52.581448429689374	43.879855596244326	21.91929689270888	7.584484978545411	9.71481190067336
8433	8433	64.37307939445057	40.990514369909974	33.29911747286633	9.71083036421172	8.495969698527906
8558	8558	57.7050826862891	41.02491965678911	21.69803797556367	15.419240025948385	10.590650350529803
6276	6276	64.97295719143017	34.20055110551196	23.216749384292942	26.231126580700135	15.248390706342438
3442	3442	57.43414678755466	27.880466817132387	32.47946161600937	15.133056080080165	10.379556583377882
8422	8422	70.11559032143343	33.45293136839364	18.181456898257604	9.004613128981823	9.617154980995359
4668	4668	62.8421997978044	35.644864559662196	24.490834984086426	13.680828387187914	7.077771851160296
